abbreviation,precinct,precinct_no_lead,registered_voters,registered_cast,registered_turnout_perc
2730,027030,27030,1417,870,61.40
2731,027031,27031,2186,1447,66.19
2732,027032,27032,2316,1596,68.91
2733,027033,27033,2329,1567,67.28
2734,027034,27034,1422,755,53.09
2735,027035,27035,2814,1528,54.30
2736,027036,27036,920,448,48.70
2737,027037,27037,704,516,73.30
2738,027038,27038,1413,872,61.71
2739,027039,27039,834,680,81.53
2740,027040,27040,1467,1227,83.64
2741,027041,27041,1922,1510,78.56
2742,027042,27042,1727,1355,78.46
2743,027043,27043,784,671,85.59
2744,027044,27044,1205,990,82.16
2745,027045,27045,1783,1414,79.30
2746,027046,27046,866,728,84.06
2747,027047,27047,1172,836,71.33
2748,027048,27048,902,643,71.29
2749,027049,27049,2976,2368,79.57
2750,027050,27050,1162,937,80.64
2751,027051,27051,252,146,57.94
2752,027052,27052,2570,1383,53.81
2753,027053,27053,1544,733,47.47
2754,027054,27054,551,237,43.01
2755,027055,27055,753,312,41.43
2756,027056,27056,904,443,49.00
2757,027057,27057,1964,1009,51.37
2758,027058,27058,617,305,49.43
2759,027059,27059,905,499,55.14
2760,027060,27060,1543,989,64.10
2761,027061,27061,761,482,63.34
2762,027062,27062,1943,1245,64.08
2763,027063,27063,1918,1233,64.29
2764,027064,27064,1838,1314,71.49
2765,027065,27065,3050,2086,68.39
2766,027066,27066,2412,1690,70.07
2767,027067,27067,2138,1293,60.48
2801,028001,28001,1328,788,59.34
2802,028002,28002,2109,1308,62.02
2803,028003,28003,433,265,61.20
2804,028004,28004,677,412,60.86
2805,028005,28005,1581,993,62.81
2806,028006,28006,2372,1446,60.96
2807,028007,28007,1107,720,65.04
2808,028008,28008,1444,912,63.16
2809,028009,28009,1904,1131,59.40
2810,028010,28010,1998,1399,70.02
2811,028011,28011,1928,1248,64.73
2812,028012,28012,1445,1047,72.46
2813,028013,28013,1334,804,60.27
2814,028014,28014,553,302,54.61
2815,028015,28015,1865,1178,63.16
