   POLL_ID,CO,ELE,PRE,PART,PPLACEID,POLL_NAME,ADDRESS1,ADDRESS2,CITY,ST,ZIP,T_ACCESS,LEG,CO,JU,AP,CON,SCH,ORP,CEN,REPORTED,B,ISPUBLIC,OFFSPARK,MUNI,COLLEGE,COLLEGE_NAME,EARLY
1780,2,1,7,1,10066,Overlook Elementary School,401 Hampton Road,,Linthicum,MD,-21090,1,32,2,5,5,1,,,,2,S,1,1,,,,
1781,2,1,8,1,10067,North County High School,10 1st Avenue East,,Glen Burnie,MD,-21061,1,32,3,5,5,1,,,,2,S,1,1,,,,
1782,2,1,9,1,10068,Hilltop Elementary School,415 Melrose Avenue,,Glen Burnie,MD,-21061,1,32,3,5,5,1,,,,2,S,1,1,,,,
1783,2,1,10,1,10069,St. John Lutheran Church,300 Maple Road West,,Linthicum,MD,-21090,1,32,2,5,5,1,,,,2,C,1,1,,,,
1784,2,1,11,1,10070,Linthicum Community Library,400 Shipley Road,,Linthicum,MD,-21090,1,32,2,5,5,1,,,,2,O,1,1,,,,
1785,2,1,12,1,10071,North Glen Elementary School,615 Furnace Branch Road West,,Glen Burnie,MD,-21061,1,31A,2,5,5,1,,,,2,S,1,1,,,,
1786,2,1,14,1,10068,Hilltop Elementary School,415 Melrose Avenue,,Glen Burnie,MD,-21061,1,31A,3,5,5,1,,,,2,S,1,1,,,,
1787,2,1,19,1,10073,Van Bokkelen Elementary School,1140 Reece Road,,Severn,MD,21144,1,32,2,5,5,1,,,,2,S,1,1,,,,
1788,2,2,1,1,10074,Severn Elementary School,838 Reece Road,,Severn,MD,-21144,1,32,3,5,5,2,,,,2,S,1,1,,,,
1789,2,2,2,1,10075,Southgate Elementary School,290 Shetlands Lane,,Glen Burnie,MD,-21061,1,32,4,5,5,2,,,,2,S,1,1,,,,
1790,2,2,3,1,10076,Glen Burnie Park Elementary School,500 Marlboro Road,,Glen Burnie,MD,-21061,1,32,3,5,5,2,,,,2,S,1,1,,,,
1791,2,2,4,1,10077,Quarterfield Elementary School,7967 Quarterfield Road,,Severn,MD,-21144,1,32,3,5,5,2,,,,2,S,1,1,,,,
1792,2,2,5,1,10078,Oakwood Elementary School,330 Oak Manor Drive,,Glen Burnie,MD,-21061,1,32,3,5,5,2,,,,2,S,1,1,,,,
1793,2,2,6,1,14588,Corkran Middle School,7600 Quarterfield Road,,Glen Burnie,MD,21061,1,32,3,5,5,2,,,,2,S,,,,,,
1794,2,2,7,1,14858,Glen Burnie Baptist Church,7524 Old Stage Road,,Glen Burnie,MD,21061,1,32,3,5,5,2,,,,2,C,,,,,,
1796,2,2,11,1,10081,Woodside Elementary School,160 Funke Road,,Glen Burnie,MD,-21061,1,32,3,5,5,2,,,,2,S,1,1,,,,
1797,2,2,13,1,14268,Old Mill High School,600 Patriot Lane,,Millersville,MD,21108,1,32,4,5,5,2,,,,2,S,1,1,,,,
1798,2,2,15,1,11551,Old Mill Middle School South,620 Patriot Lane,,Millersville,MD,21108,1,32,3,5,5,2,,,,2,S,1,1,,,,
1799,2,2,16,1,14588,Corkran Middle School,7600 Quarterfield Road,,Glen Burnie,MD,21061,1,32,3,5,5,2,,,,2,S,,,,,,
1800,2,4,7,1,11557,Meade Middle School,1103 26th Street,,Fort Meade,MD,-20755,1,32,2,5,5,4,,,,2,S,1,1,,,,
1801,2,4,9,1,11558,Maryland City at Russett Community Library,3501 Russett Common,,Laurel,MD,-20724,1,32,2,5,5,4,,,,2,O,1,1,,,,
1802,2,4,23,1,10091,Waugh Chapel Elementary School,840 Sunflower Drive,,Odenton,MD,21113,1,21,4,5,5,4,,,,2,S,1,1,,,,
1803,2,2,14,1,10087,Rippling Woods Elementary School,530 Nolfield Drive,,Glen Burnie,MD,-21061,1,32,3,5,5,2,,,,2,S,1,1,,,,
1804,2,2,17,1,11551,Old Mill Middle School South,620 Patriot Lane,,Millersville,MD,21108,1,32,3,5,5,2,,,,2,S,1,1,,,,
1805,2,4,2,1,10088,Odenton Elementary School,1290 Odenton Road,,Odenton,MD,-21113,1,21,3,5,5,4,,,,2,S,1,1,,,,
1806,2,4,3,1,10089,Arundel High School,1001 Annapolis Road,,Gambrills,MD,-21054,1,21,4,5,5,4,,,,2,S,1,1,,,,
1807,2,4,4,1,10090,Millersville Elementary School,1601 Millersville Road,,Millersville,MD,-21108,1,33,4,5,5,4,,,,2,S,1,1,,,,
1808,2,4,5,1,11560,Piney Orchard Elementary School,2641 Strawberry Lake Way,,Odenton,MD,-21113,1,21,3,5,5,4,,,,2,S,1,1,,,,
1809,2,4,6,1,11556,Resurrection of Our Lord Catholic Church,8402 Brock Bridge Road,,Laurel,MD,20724,1,32,3,5,5,4,,,,2,C,1,1,,,,
1810,2,4,8,1,10093,Four Seasons Elementary School,979 Waugh Chapel Road,,Gambrills,MD,-21054,1,21,4,5,5,4,,,,2,S,1,1,,,,
1811,2,4,11,1,10094,O'Malley Senior Activity Center,1275 Odenton Road,,Odenton,MD,-21113,1,21,3,5,5,4,,,,2,T,1,1,,,,
1812,2,5,5,1,10095,Jones Elementary School,122 Hoyle Lane,,Severna Park,MD,-21146,1,33,4,5,5,5,,,,2,S,1,1,,,,
1813,2,5,6,1,10096,Severna Park Elementary School,6 Riggs Avenue,,Severna Park,MD,-21146,1,33,4,5,5,5,,,,2,S,1,1,,,,
1814,2,5,7,1,14881,Benfield Elementary School,365 Lynwood Drive,,Severna Park,MD,21146,1,33,4,5,5,5,,,,2,S,1,,,,,
1815,2,5,8,1,10098,Oak Hill Elementary School,34 Truck House Road,,Severna Park,MD,-21146,1,33,4,5,5,5,,,,2,S,1,1,,,,
1816,2,5,15,1,14344,Shipley's Choice Elementary School,310 Governor William Stone Parkway,,Millersville,MD,21108,1,33,4,5,5,5,,,,2,S,1,1,,,,
1817,2,5,19,1,10100,Severna Park Middle School,450 Jumpers Hole Road,,Severna Park,MD,-21146,1,33,4,5,5,5,,,,2,S,1,1,,,,
1818,2,5,24,1,10100,Severna Park Middle School,450 Jumpers Hole Road,,Severna Park,MD,-21146,1,33,4,5,5,5,,,,2,S,1,1,,,,
1819,2,6,19,1,10101,Annapolis High School,2700 Riva Road,,Annapolis,MD,-21401,1,30A,4,5,5,6,,,,2,S,1,1,,,,
1820,2,6,20,1,10102,American Legion Post #7,1905 Crownsville Road,,Annapolis,MD,-21401,1,30A,4,5,5,6,,,,2,O,1,1,,,,
1821,2,6,21,1,10103,Rolling Knolls Elementary School,1985 Valley Road,,Annapolis,MD,-21401,1,33,4,5,5,6,,,,2,S,1,1,,,,
1822,2,7,7,1,10104,Davidsonville Elementary School,962 Central Avenue West,,Davidsonville,MD,-21035,1,33,5,5,5,7,,,,2,S,1,1,,,,
1823,2,7,8,1,10030,Southern High School,4400 Solomons Island Road,,Harwood,MD,-20776,1,30B,5,5,5,7,,,,2,S,1,1,,,,
1824,2,7,11,1,10104,Davidsonville Elementary School,962 Central Avenue West,,Davidsonville,MD,-21035,1,33,5,5,5,7,,,,2,S,1,1,,,,
1825,2,7,12,1,10107,Riva Volunteer Fire Hall,3123 Riva Road,,Riva,MD,-21140,1,33,4,5,5,7,,,,2,F,1,1,,,,
1826,2,7,13,1,10108,Arundel Volunteer Fire Hall,2374 Davidsonville Road,,Gambrills,MD,-21054,1,33,4,5,5,7,,,,2,F,1,1,,,,
1827,2,7,14,1,10109,Crofton Woods Elementary School,1750 Urby Drive,,Crofton,MD,21114,1,33,5,5,5,7,,,,2,S,1,1,,,,
1828,2,7,15,1,14550,Crofton Elementary School,1405 Duke of Kent Drive,,Crofton,MD,21114,1,33,5,5,5,7,,,,2,S,,,,,,
1829,2,7,16,1,14550,Crofton Elementary School,1405 Duke of Kent Drive,,Crofton,MD,21114,1,33,5,5,5,7,,,,2,S,,,,,,
1830,2,7,17,1,10112,Crofton Middle School,2301 Davidsonville Road,,Gambrills,MD,21054,1,33,4,5,5,7,,,,2,S,1,1,,,,
1831,2,7,18,1,11520,Crofton Annex-Staff Development Center-Carver,2671 Carver Road,,Gambrills,MD,21054,1,33,4,5,5,7,,,,2,O,1,1,,,,
1832,2,7,20,1,11452,Crofton Meadows Elementary School,2020 Tilghman Drive,,Crofton,MD,-21114,1,33,4,5,5,7,,,,2,S,1,0,,,,
1833,3,3,2,1,10115,School No. 8 City Springs Elem/Middle,100 S. Caroline Street,,Baltimore,MD,-21231,1,46,7,8,6,12,,,,2,S,1,1,,,,
1834,3,27,16,1,10116,School No. 212,2800 Ailsa Avenue,,Baltimore,MD,-21214,1,43,7,8,6,3,,,,2,S,1,1,,,,
1835,3,27,18,1,10117,Engine House No. 42,4522 Harford Road,,Baltimore,MD,21214,1,43,7,8,6,3,,,,2,F,1,1,,,,
1836,3,27,21,1,10118,School No. 219,5931 Yorkwood Road,,Baltimore,MD,-21239,1,43,7,8,6,4,,,,2,S,1,1,,,,
1837,3,27,22,1,10119,School No. 242,5201 Loch Raven Boulevard,,Baltimore,MD,21239,1,43,7,8,6,3,,,,2,S,1,1,,,,
1838,3,27,23,1,10119,School No. 242,5201 Loch Raven Boulevard,,Baltimore,MD,21239,1,43,7,8,6,3,,,,2,S,1,1,,,,
1839,3,27,25,1,13904,Northwood Appold Community Academy,4417 Loch Raven Boulevard,,Baltimore,MD,-21218,1,43,7,8,6,3,,,,2,S,1,0,,,,
1841,3,27,26,1,14291,League for People with Disabilities,1111 East Cold Spring Lane,,Baltimore,MD,21239,1,43,7,8,6,3,,,,2,T,1,1,,,,
1842,3,27,28,1,10123,School No. 371 Lillie May Carroll Jackson,900 Woodbourne Avenue At Tunbridge Road,,Baltimore,MD,-21212,1,43,7,8,6,4,,,,2,S,1,1,,,,
1843,3,27,30,1,10119,School No. 242,5201 Loch Raven Boulevard,,Baltimore,MD,21239,1,43,7,8,6,4,,,,2,S,1,1,,,,
1845,3,27,34,1,10125,Deweese Recreation Center,5501 Ivanhoe Avenue,,Baltimore,MD,21212,1,43,7,8,6,4,,,,2,T,1,1,,,,
